,WMAE gain,WMAE phase,WMAE bias,Bayes gain,Bayes phase,Bayes bias,OLS gain,OLS phase,OLS bias
0,18.6967285287,6.4894377281,3.2504083475,6.8147664888,4.3874483867,-6.6322947522,13.8449075933,9.7406083269,-19.1293582312
1,29.6929305587,5.3038354434,-32.833789609,18.4707021627,1.6893215874,-18.1404307279,23.077509815,1.8458817888,-68.7940114791
2,13.4352274242,1.0776852517,15.3820644707,-6.3133454913,-0.7193675304,14.7246688386,-19.5057982759,-6.8376985083,73.3770788826
3,-8.7007564734,-8.2750816843,3.1786219226,-2.3197564869,-2.8970777261,17.454169467,-14.9245751938,-2.0649020777,106.994176457
4,38.5121748874,24.295731556,-23.6648470708,19.6816452689,11.3771569149,-9.7706043594,26.4451989416,14.8192138414,-47.9241495419
5,-9.7348529401,-10.3200842308,33.6269048519,-15.657708569,-11.9695462109,26.4976248191,-18.9484605487,-12.7626193431,43.8210899906
6,-12.8570092403,0.2317395391,-4.3213473813,-3.3137338122,2.649391927,8.841126587,-18.7008038903,6.7853768919,171.7504698587
7,-3.1875689475,-1.162614921,0.2515622772,-2.5182262994,-5.2024211497,-28.2377469013,28.4582629379,-1.5649733103,-265.2674938953
8,-2.3956818664,-6.0286422202,7.560689577,6.3332341003,-2.4573874229,0.2056735133,-4.6105401115,-6.5033406993,42.7331460722
9,7.0372663802,-1.9353953026,-20.6258148969,13.2217379268,1.6503481212,-8.4753346487,12.9402768665,3.6876338289,-34.7388976208
10,-18.304295341,-6.2496774508,33.9820256459,-11.4027753457,-4.1906431746,34.7948477091,-20.3536741354,-1.6946085116,162.4497578268
11,-3.5219218557,-6.6845294147,-3.4225277222,1.3959355707,-2.6920026638,-10.0312224539,-5.1800545106,-2.7268462631,55.2722006872
12,-4.5028551028,0.5701982353,23.0065974922,3.1922132023,0.0527325946,4.7507463295,-2.9890485091,4.7100115257,102.3205485794
13,-2.1001786538,-1.7768215619,1.0666037739,-2.0892497194,-1.8322448789,3.7441082216,-4.7887628736,1.2892990458,64.482850372
14,11.1686480367,2.4024239985,-3.2842425954,17.4041459227,3.085752405,-9.6002640535,14.570963228,-2.589123581,-80.5209007273
15,-6.560439519,2.4063414677,35.4293614755,-2.2586054791,-2.1628708759,21.9887179404,1.2294672819,-9.1006369053,-106.8172542078
16,5.4968661272,4.4421813909,18.1273641198,20.1904472999,5.2784770235,10.5812659032,11.5952665068,11.3926215009,135.1226282824
17,35.3055814758,11.9361484987,-3.5950606378,31.6425553386,16.2405014501,7.4193409799,32.2729091022,24.6073130462,104.0170124935
18,8.1920123749,4.174929829,22.4006705252,9.2267916493,0.4322426561,-7.9358662139,18.0709587108,-11.1197044772,-224.3533869731
19,6.9611148578,5.4243132963,-11.5892501441,1.2797201485,5.5497121231,-4.5492191367,-14.7836165659,7.249702241,172.4346467698
20,-7.5747615238,-3.7089202284,-37.776938296,2.9704327364,-0.0013850865,-21.7949959675,10.8768185535,-0.5900654834,-122.5576422641
